iter	Passed	Remaining
187	5231	36506
188	5259	36485
189	5288	36464
190	5317	36443
191	5346	36422
192	5374	36395
193	5401	36363
194	5431	36349
195	5458	36317
196	5488	36302
197	5516	36278
198	5545	36254
199	5572	36220
200	5598	36180
201	5627	36158
202	5656	36140
203	5684	36111
204	5712	36083
205	5739	36054
206	5765	36015
207	5794	35992
208	5835	36043
209	5863	36019
210	5894	36009
211	5940	36091
212	5974	36101
213	6004	36086
214	6032	36053
215	6059	36022
216	6087	35992
217	6116	35969
218	6149	35968
219	6179	35952
220	6207	35926
221	6236	35901
222	6269	35902
223	6297	35874
224	6327	35854
225	6360	35856
226	6387	35817
227	6415	35789
228	6441	35754
229	6471	35735
230	6500	35710
231	6527	35677
232	6554	35639
233	6580	35604
234	6607	35568
235	6640	35564
236	6669	35542
237	6699	35523
238	6726	35489
239	6753	35454
240	6784	35441
241	6811	35409
242	6839	35378
243	6865	35341
244	6894	35316
245	6944	35401
246	6973	35373
247	7001	35344
248	7031	35327
249	7068	35341
250	7098	35323
251	7126	35295
252	7158	35283
253	7202	35332
254	7245	35377
255	7282	35390
256	7313	35372
257	7359	35426
258	7389	35408
259	7424	35409
260	7462	35423
261	7493	35406
262	7541	35472
263	7575	35467
264	7615	35491
265	7649	35486
266	7683	35481
267	7734	35556
268	7775	35580
269	7803	35551
270	7838	35550
271	7869	35528
272	7898	35500
273	7929	35482
274	7962	35467
275	7995	35459
276	8024	35428
277	8054	35406
278	8088	35397
279	8119	35378
280	8145	35336
281	8174	35307
282	8203	35277
283	8230	35241
284	8260	35216
285	8286	35173
286	8312	35132
287	8338	35089
288	8365	35055
289	8394	35024
290	8427	35011
291	8460	35001
292	8491	34978
293	8518	34941
294	8548	34919
295	8583	34913
296	8611	34882
297	8641	34856
298	8668	34817
299	8697	34790
300	8729	34773
301	8756	34737
302	8784	34701
303	8809	34657
304	8836	34622
305	8862	34582
306	8890	34548
307	8921	34526
308	8951	34500
309	8980	34471
310	9008	34442
311	9037	34413
312	9066	34382
313	9091	34337
314	9117	34299
315	9142	34254
316	9168	34216
317	9195	34178
318	9224	34152
319	9251	34113
320	9277	34074
321	9303	34034
322	9329	33997
323	9357	33962
324	9385	33933
325	9413	33901
326	9451	33905
327	9482	33882
328	9521	33888
329	9551	33864
330	9581	33840
331	9607	33800
332	9635	33767
333	9663	33735
334	9692	33707
335	9718	33668
336	9748	33643
337	9775	33605
338	9801	33566
339	9830	33540
340	9860	33515
341	9891	33490
342	9926	33485
343	9957	33462
344	9988	33438
345	10016	33408
346	10044	33376
347	10071	33338
348	10097	33301
349	10123	33262
350	10154	33239
351	10202	33273
352	10230	33241
353	10259	33214
354	10285	33175
355	10316	33151
356	10342	33113
357	10369	33077
358	10396	33044
359	10426	33017
360	10453	32980
361	10481	32951
362	10510	32921
363	10551	32928
364	10577	32892
365	10605	32858
366	10634	32829
367	10660	32792
368	10688	32760
369	10712	32717
370	10739	32680
371	10766	32646
372	10794	32613
373	10820	32578
374	10846	32539
375	10877	32516
376	10905	32483
377	10931	32446
378	10960	32419
379	10986	32381
380	11011	32340
381	11037	32304
382	11064	32269
383	11092	32238
384	11121	32208
385	11147	32172
386	11173	32134
387	11198	32095
388	11225	32061
389	11254	32031
390	11282	32001
391	11308	31965
392	11333	31924
393	11360	31891
394	11385	31851
395	11412	31816
396	11441	31787
397	11466	31748
398	11492	31713
399	11520	31681
400	11549	31654
401	11579	31628
402	11613	31613
403	11664	31644
404	11691	31611
405	11722	31586
406	11758	31577
407	11788	31551
408	11820	31531
409	11855	31519
410	11885	31491
411	11918	31474
412	11947	31445
413	11973	31408
414	12019	31425
415	12059	31424
416	12094	31411
417	12125	31387
418	12177	31416
419	12216	31413
420	12252	31402
421	12291	31399
422	12319	31367
423	12348	31338
424	12377	31307
425	12407	31281
426	12440	31262
427	12470	31234
428	12498	31201
429	12526	31171
430	12554	31138
431	12582	31105
432	12615	31086
433	12642	31053
434	12670	31020
435	12696	30983
436	12725	30953
437	12748	30910
438	12779	30886
439	12806	30852
440	12831	30812
441	12859	30780
442	12886	30747
443	12912	30710
444	12942	30682
445	12968	30646
446	12995	30613
447	13025	30585
448	13052	30553
449	13081	30522
450	13111	30496
451	13141	30469
452	13169	30437
453	13198	30408
454	13226	30377
455	13254	30346
456	13284	30318
457	13312	30286
458	13339	30254
459	13368	30223
460	13399	30200
461	13428	30171
462	13458	30143
463	13485	30110
464	13514	30080
465	13540	30045
466	13568	30013
467	13598	29987
468	13628	29958
469	13656	29927
470	13685	29897
471	13712	29866
472	13740	29833
473	13769	29803
474	13800	29779
475	13830	29752
476	13859	29724
477	13888	29694
478	13920	29672
479	13949	29642
480	13976	29609
481	14002	29574
482	14031	29545
483	14060	29516
484	14090	29487
485	14117	29455
486	14153	29439
487	14181	29410
488	14212	29384
489	14250	29372
490	14277	29340
491	14304	29305
492	14334	29279
493	14362	29247
494	14391	29219
495	14418	29185
496	14445	29152
497	14471	29116
498	14497	29082
499	14523	29047
500	14554	29021
501	14604	29035
502	14632	29002
503	14659	28970
504	14693	28949
505	14723	28923
506	14750	28890
507	14777	28857
508	14805	28825
509	14832	28793
510	14870	28780
511	14900	28753
512	14927	28720
513	14955	28688
514	14986	28664
515	15015	28634
516	15046	28608
517	15076	28581
518	15105	28552
519	15134	28523
520	15164	28496
521	15197	28473
522	15224	28441
523	15253	28410
524	15282	28382
525	15330	28388
526	15367	28372
527	15393	28338
528	15426	28316
529	15455	28286
530	15485	28258
531	15519	28239
532	15550	28212
533	15583	28190
534	15616	28167
535	15647	28141
536	15683	28126
537	15717	28103
538	15746	28075
539	15776	28047
540	15806	28019
541	15837	27993
542	15869	27969
543	15899	27941
544	15936	27924
545	15997	27952
546	16040	27946
547	16068	27914
548	16098	27886
549	16126	27855
550	16157	27827
551	16188	27802
552	16217	27771
553	16250	27749
554	16280	27720
555	16313	27698
556	16343	27669
557	16372	27639
558	16401	27609
559	16428	27576
560	16456	27545
561	16485	27515
562	16524	27500
563	16552	27470
564	16581	27439
565	16608	27406
566	16637	27376
567	16666	27346
568	16694	27316
569	16722	27283
570	16750	27252
571	16781	27225
572	16809	27194
573	16845	27176
574	16880	27154
575	16908	27124
576	16954	27121
577	16992	27105
578	17034	27096
579	17066	27070
580	17095	27041
581	17125	27011
582	17157	26987
583	17188	26960
584	17249	26980
585	17284	26959
586	17314	26930
587	17345	26902
588	17370	26867
589	17398	26834
590	17425	26802
591	17452	26768
592	17482	26739
593	17512	26711
594	17540	26679
595	17570	26649
596	17596	26615
597	17624	26584
598	17655	26556
599	17683	26524
600	17714	26497
601	17741	26464
602	17769	26433
603	17797	26401
604	17830	26377
605	17858	26345
606	17888	26317
607	17918	26288
608	17945	26255
609	17978	26230
610	18009	26203
611	18037	26171
612	18063	26136
613	18091	26105
614	18119	26074
615	18150	26046
616	18177	26013
617	18205	25983
618	18232	25949
619	18259	25917
620	18294	25895
621	18320	25861
622	18346	25825
623	18371	25790
624	18400	25760
625	18428	25728
626	18457	25699
627	18484	25666
628	18511	25633
629	18547	25613
630	18575	25581
631	18604	25551
632	18631	25518
633	18657	25485
634	18685	25453
635	18714	25423
636	18746	25397
637	18775	25366
638	18803	25336
639	18831	25305
640	18859	25274
641	18886	25241
642	18915	25210
643	18952	25191
644	18979	25159
645	19007	25127
646	19034	25094
647	19062	25063
648	19090	25032
649	19117	24999
650	19145	24968
651	19172	24936
652	19199	24903
653	19227	24872
654	19258	24844
655	19286	24813
656	19313	24781
657	19341	24749
658	19368	24717
659	19394	24683
660	19422	24652
661	19448	24619
662	19473	24584
663	19500	24551
664	19526	24518
665	19555	24488
666	19586	24460
667	19612	24427
668	19638	24393
669	19666	24362
670	19691	24328
671	19718	24295
672	19747	24266
673	19777	24237
674	19807	24208
675	19851	24197
676	19883	24171
677	19915	24145
678	19943	24114
679	19973	24085
680	20004	24058
681	20040	24037
682	20071	24009
683	20099	23978
684	20127	23947
685	20154	23915
686	20185	23887
687	20213	23856
688	20241	23825
689	20267	23792
690	20294	23759
691	20324	23731
692	20351	23698
693	20381	23671
694	20409	23639
695	20440	23611
696	20465	23578
697	20508	23564
698	20535	23532
699	20577	23517
700	20605	23486
701	20630	23452
702	20656	23418
703	20683	23386
704	20714	23358
705	20740	23325
706	20771	23298
707	20814	23283
708	20853	23265
709	20884	23237
710	20915	23210
711	20944	23179
712	20972	23148
713	21001	23119
714	21030	23089
715	21073	23075
716	21105	23047
717	21133	23017
718	21163	22987
719	21190	22956
720	21216	22923
721	21251	22899
722	21290	22880
723	21319	22851
724	21349	22821
725	21377	22790
726	21402	22757
727	21429	22725
728	21456	22692
729	21482	22659
730	21510	22628
731	21538	22597
732	21565	22565
733	21594	22536
734	21625	22507
735	21657	22481
736	21686	22451
737	21715	22421
738	21744	22391
739	21770	22358
740	21800	22330
741	21829	22300
742	21859	22271
743	21887	22240
744	21917	22211
745	21948	22184
746	21974	22150
747	22004	22122
748	22036	22095
749	22067	22067
750	22096	22038
751	22125	22008
752	22155	21979
753	22184	21949
754	22213	21919
755	22241	21888
756	22268	21856
757	22296	21825
758	22325	21796
759	22355	21767
760	22383	21736
761	22410	21704
762	22438	21673
763	22465	21642
764	22494	21612
765	22523	21582
766	22550	21551
767	22579	21521
768	22607	21490
769	22635	21459
770	22667	21432
771	22695	21401
772	22722	21370
773	22748	21338
774	22777	21307
775	22804	21276
776	22834	21247
777	22862	21216
778	22890	21185
779	22919	21156
780	22946	21125
781	22973	21093
782	23002	21063
783	23030	21032
784	23058	21002
785	23086	20972
786	23114	20941
787	23143	20911
788	23171	20880
789	23198	20848
790	23226	20818
791	23262	20794
792	23289	20763
793	23319	20735
794	23350	20706
795	23375	20673
796	23402	20642
797	23431	20612
798	23459	20582
799	23490	20554
800	23517	20523
801	23551	20497
802	23579	20466
803	23607	20436
804	23637	20407
805	23664	20375
806	23690	20344
807	23716	20311
808	23745	20281
809	23769	20248
810	23798	20218
811	23823	20185
812	23853	20157
813	23881	20126
814	23910	20096
815	23940	20067
816	23980	20047
817	24008	20017
818	24036	19986
819	24064	19956
820	24092	19925
821	24120	19894
822	24146	19863
823	24175	19833
824	24213	19810
825	24239	19778
826	24269	19750
827	24295	19718
828	24322	19686
829	24349	19655
830	24379	19626
831	24409	19598
832	24438	19568
833	24464	19536
834	24491	19504
835	24516	19472
836	24542	19440
837	24576	19414
838	24604	19384
839	24629	19351
840	24655	19320
841	24682	19288
842	24708	19257
843	24739	19228
844	24770	19200
845	24797	19169
846	24823	19138
847	24850	19106
848	24877	19075
849	24907	19047
850	24935	19016
851	24962	18985
852	24989	18954
853	25016	18923
854	25043	18892
855	25075	18864
856	25100	18832
857	25129	18803
858	25154	18770
859	25196	18750
860	25226	18721
861	25253	18691
862	25280	18660
863	25306	18628
864	25333	18597
865	25359	18565
866	25388	18536
867	25415	18504
868	25441	18473
869	25479	18450
870	25506	18419
871	25547	18398
872	25575	18368
873	25600	18336
874	25625	18303
875	25651	18272
876	25678	18241
877	25707	18212
878	25734	18180
879	25761	18150
880	25787	18118
881	25815	18088
882	25844	18058
883	25874	18030
884	25903	18000
885	25930	17969
886	25955	17937
887	25981	17906
888	26017	17881
889	26047	17852
890	26075	17822
891	26101	17791
892	26128	17760
893	26158	17731
894	26187	17701
895	26212	17669
896	26239	17638
897	26264	17607
898	26290	17575
899	26320	17546
900	26351	17518
901	26377	17487
902	26404	17456
903	26431	17425
904	26459	17395
905	26487	17366
906	26516	17336
907	26543	17305
908	26576	17279
909	26645	17275
910	26685	17253
911	26736	17238
912	26773	17213
913	26814	17191
914	26867	17177
915	26903	17152
916	26938	17126
917	26972	17100
918	27004	17072
919	27036	17044
920	27068	17017
921	27107	16993
922	27135	16963
923	27168	16936
924	27201	16908
925	27231	16879
926	27265	16853
927	27296	16825
928	27325	16795
929	27355	16766
930	27386	16737
931	27416	16708
932	27450	16681
933	27483	16654
934	27514	16626
935	27541	16595
936	27575	16568
937	27621	16549
938	27649	16519
939	27681	16491
940	27709	16460
941	27737	16430
942	27765	16400
943	27794	16370
944	27824	16341
945	27854	16312
946	27886	16284
947	27913	16253
948	27940	16222
949	27969	16192
950	28002	16165
951	28031	16135
952	28072	16112
953	28103	16084
954	28131	16053
955	28160	16024
956	28189	15994
957	28230	15971
958	28264	15945
959	28295	15916
960	28330	15889
961	28363	15862
962	28434	15855
963	28477	15833
964	28513	15807
965	28542	15777
966	28570	15747
967	28598	15717
968	28626	15687
969	28662	15661
970	28698	15635
971	28731	15607
972	28759	15576
973	28787	15546
974	28820	15518
975	28848	15488
976	28880	15459
977	28910	15430
978	28941	15401
979	28974	15374
980	29009	15347
981	29041	15319
982	29071	15289
983	29099	15259
984	29130	15230
985	29161	15201
986	29195	15174
987	29227	15146
988	29258	15117
989	29283	15085
990	29311	15055
991	29342	15026
992	29375	14998
993	29404	14968
994	29432	14937
995	29462	14908
996	29491	14878
997	29522	14849
998	29553	14821
999	29581	14790
1000	29610	14760
1001	29637	14730
1002	29673	14703
1003	29704	14674
1004	29733	14644
1005	29765	14616
1006	29798	14588
1007	29832	14561
1008	29866	14533
1009	29896	14504
1010	29930	14476
1011	29963	14448
1012	29997	14421
1013	30029	14392
1014	30061	14364
1015	30094	14336
1016	30135	14312
1017	30165	14282
1018	30198	14254
1019	30229	14225
1020	30256	14194
1021	30283	14163
1022	30313	14134
1023	30344	14105
1024	30373	14075
1025	30400	14044
1026	30425	14012
1027	30459	13985
1028	30491	13956
1029	30521	13927
1030	30551	13897
1031	30578	13867
1032	30608	13837
1033	30634	13806
1034	30663	13776
1035	30703	13751
1036	30736	13723
1037	30764	13692
1038	30794	13663
1039	30830	13636
1040	30861	13607
1041	30889	13577
1042	30920	13548
1043	30953	13519
1044	30983	13490
1045	31012	13460
1046	31045	13432
1047	31074	13402
1048	31100	13371
1049	31127	13340
1050	31168	13315
1051	31198	13285
1052	31224	13254
1053	31251	13223
1054	31277	13192
1055	31309	13164
1056	31338	13134
1057	31366	13103
1058	31393	13073
1059	31421	13042
1060	31449	13012
1061	31481	12983
1062	31508	12953
1063	31534	12922
1064	31568	12894
1065	31598	12864
1066	31629	12835
1067	31659	12806
1068	31688	12776
1069	31715	12745
1070	31743	12715
1071	31774	12686
1072	31807	12657
1073	31834	12627
1074	31863	12597
1075	31889	12566
1076	31916	12535
1077	31944	12505
1078	31978	12477
1079	32018	12451
1080	32046	12421
1081	32074	12391
1082	32104	12361
1083	32132	12331
1084	32158	12300
1085	32185	12269
1086	32214	12239
1087	32246	12210
1088	32281	12183
1089	32313	12154
1090	32351	12128
1091	32378	12097
1092	32405	12066
1093	32433	12036
1094	32460	12005
1095	32488	11975
1096	32514	11944
1097	32556	11919
1098	32584	11889
1099	32612	11858
1100	32643	11829
1101	32669	11798
1102	32696	11768
1103	32724	11738
1104	32751	11707
1105	32778	11676
1106	32805	11646
1107	32832	11615
1108	32859	11585
1109	32890	11555
1110	32920	11526
1111	32947	11496
1112	32977	11466
1113	33008	11437
1114	33042	11409
1115	33077	11381
1116	33106	11351
1117	33134	11321
1118	33163	11291
1119	33191	11261
1120	33231	11235
1121	33283	11213
1122	33318	11185
1123	33348	11155
1124	33379	11126
1125	33411	11097
1126	33449	11070
1127	33479	11041
1128	33509	11011
1129	33542	10983
1130	33571	10953
1131	33602	10923
1132	33632	10894
1133	33664	10865
1134	33694	10835
1135	33722	10805
1136	33756	10777
1137	33787	10747
1138	33816	10718
1139	33845	10688
1140	33874	10658
1141	33907	10629
1142	33956	10605
1143	33991	10577
1144	34025	10549
1145	34061	10521
1146	34094	10493
1147	34141	10468
1148	34180	10441
1149	34212	10412
1150	34250	10385
1151	34285	10357
1152	34317	10327
1153	34348	10298
1154	34383	10270
1155	34417	10241
1156	34451	10213
1157	34484	10184
1158	34524	10157
1159	34557	10128
1160	34589	10099
1161	34619	10069
1162	34666	10045
1163	34709	10019
1164	34742	9990
1165	34781	9963
1166	34822	9936
1167	34858	9908
1168	34894	9880
1169	34931	9852
1170	34964	9823
1171	34998	9794
1172	35027	9764
1173	35055	9734
1174	35086	9704
1175	35122	9676
1176	35152	9646
1177	35186	9618
1178	35226	9591
1179	35271	9565
1180	35326	9542
1181	35365	9514
1182	35401	9486
1183	35450	9461
1184	35495	9435
1185	35536	9408
1186	35577	9381
1187	35616	9353
1188	35657	9326
1189	35687	9296
1190	35720	9267
1191	35752	9238
1192	35782	9208
1193	35817	9179
1194	35850	9150
1195	35885	9121
1196	35918	9092
1197	35950	9062
1198	35982	9033
1199	36018	9004
1200	36067	8979
1201	36102	8950
1202	36143	8923
1203	36193	8898
1204	36228	8869
1205	36259	8839
1206	36290	8809
1207	36320	8779
1208	36351	8749
1209	36386	8720
1210	36419	8691
1211	36449	8661
1212	36476	8630
1213	36508	8600
1214	36539	8570
1215	36570	8541
1216	36625	8516
1217	36658	8487
1218	36692	8458
1219	36729	8429
1220	36764	8400
1221	36812	8374
1222	36843	8344
1223	36883	8316
1224	36925	8289
1225	36960	8260
1226	36995	8231
1227	37028	8201
1228	37063	8172
1229	37092	8142
1230	37124	8112
1231	37155	8082
1232	37189	8053
1233	37223	8023
1234	37283	8000
1235	37315	7970
1236	37347	7940
1237	37383	7911
1238	37414	7881
1239	37449	7852
1240	37478	7821
1241	37510	7791
1242	37541	7761
1243	37576	7732
1244	37609	7703
1245	37637	7672
1246	37663	7641
1247	37689	7610
1248	37717	7579
1249	37747	7549
1250	37778	7519
1251	37808	7489
1252	37857	7462
1253	37892	7433
1254	37923	7403
1255	37951	7372
1256	37981	7342
1257	38009	7311
1258	38035	7280
1259	38064	7250
1260	38095	7220
1261	38122	7189
1262	38148	7158
1263	38176	7127
1264	38203	7097
1265	38232	7066
1266	38262	7036
1267	38295	7006
1268	38327	6976
1269	38356	6946
1270	38382	6915
1271	38416	6885
1272	38446	6855
1273	38476	6825
1274	38523	6798
1275	38553	6768
1276	38590	6738
1277	38624	6709
1278	38657	6679
1279	38687	6649
1280	38720	6619
1281	38752	6589
1282	38781	6559
1283	38810	6528
1284	38843	6499
1285	38871	6468
1286	38901	6438
1287	38927	6407
1288	38955	6376
1289	38982	6346
1290	39009	6315
1291	39038	6284
1292	39070	6254
1293	39111	6226
1294	39139	6195
1295	39166	6165
1296	39190	6133
1297	39219	6103
1298	39249	6073
1299	39278	6042
1300	39304	6012
1301	39332	5981
1302	39361	5951
1303	39391	5920
1304	39420	5890
1305	39447	5859
1306	39474	5829
1307	39505	5798
1308	39532	5768
1309	39565	5738
1310	39593	5708
1311	39619	5677
1312	39646	5646
1313	39673	5615
1314	39701	5585
1315	39728	5554
1316	39755	5524
1317	39784	5493
1318	39812	5463
1319	39840	5432
1320	39870	5402
1321	39898	5372
1322	39923	5341
1323	39951	5310
1324	39979	5280
1325	40004	5249
1326	40034	5219
1327	40061	5188
1328	40087	5157
1329	40115	5127
1330	40144	5097
1331	40174	5067
1332	40214	5038
1333	40247	5008
1334	40276	4977
1335	40307	4947
1336	40338	4917
1337	40372	4888
1338	40402	4857
1339	40435	4828
1340	40465	4797
1341	40497	4767
1342	40532	4738
1343	40571	4709
1344	40602	4679
1345	40634	4649
1346	40664	4618
1347	40697	4589
1348	40739	4560
1349	40766	4529
1350	40792	4498
1351	40819	4468
1352	40848	4438
1353	40874	4407
1354	40900	4376
1355	40926	4346
1356	40953	4315
1357	40983	4285
1358	41013	4255
1359	41040	4224
1360	41069	4194
1361	41093	4163
1362	41121	4133
1363	41147	4102
1364	41178	4072
1365	41210	4042
1366	41237	4012
1367	41271	3982
1368	41301	3952
1369	41334	3922
1370	41368	3892
1371	41400	3862
1372	41429	3832
1373	41458	3801
1374	41491	3771
1375	41522	3741
1376	41551	3711
1377	41580	3681
1378	41611	3651
1379	41642	3621
1380	41675	3591
1381	41708	3561
1382	41738	3530
1383	41769	3500
1384	41800	3470
1385	41831	3440
1386	41860	3410
1387	41893	3380
1388	41923	3350
1389	41951	3319
1390	41981	3289
1391	42011	3259
1392	42041	3229
1393	42072	3199
1394	42103	3169
1395	42135	3139
1396	42164	3108
1397	42191	3078
1398	42217	3047
1399	42243	3017
1400	42269	2986
1401	42303	2957
1402	42335	2926
1403	42365	2896
1404	42395	2866
1405	42429	2836
1406	42465	2806
1407	42502	2777
1408	42535	2747
1409	42563	2716
1410	42593	2686
1411	42623	2656
1412	42662	2626
1413	42691	2596
1414	42720	2566
1415	42751	2536
1416	42783	2506
1417	42839	2477
1418	42869	2447
1419	42900	2416
1420	42932	2386
1421	42964	2356
1422	42995	2326
1423	43022	2296
1424	43050	2265
1425	43077	2235
1426	43105	2205
1427	43135	2174
1428	43165	2144
1429	43194	2114
1430	43222	2084
1431	43249	2053
1432	43280	2023
1433	43309	1993
1434	43334	1962
1435	43360	1932
1436	43385	1902
1437	43413	1871
1438	43443	1841
1439	43469	1811
1440	43495	1780
1441	43523	1750
1442	43549	1720
1443	43576	1689
1444	43604	1659
1445	43634	1629
1446	43662	1599
1447	43690	1568
1448	43719	1538
1449	43749	1508
1450	43778	1478
1451	43806	1448
1452	43834	1417
1453	43862	1387
1454	43888	1357
1455	43917	1327
1456	43946	1296
1457	43973	1266
1458	44000	1236
1459	44024	1206
1460	44053	1175
1461	44083	1145
1462	44111	1115
1463	44138	1085
1464	44165	1055
1465	44193	1024
1466	44218	994
1467	44267	964
1468	44311	935
1469	44336	904
1470	44362	874
1471	44388	844
1472	44417	814
1473	44446	783
1474	44474	753
1475	44499	723
1476	44526	693
1477	44554	663
1478	44584	633
1479	44610	602
1480	44635	572
1481	44668	542
1482	44696	512
1483	44725	482
1484	44754	452
1485	44801	422
1486	44827	391
1487	44853	361
1488	44880	331
1489	44906	301
1490	44935	271
1491	44962	241
1492	44988	210
1493	45015	180
1494	45042	150
1495	45071	120
1496	45111	90
1497	45138	60
1498	45165	30
1499	45190	0
